tag,release_date,frontier_score,best_model,best_family,best_model_release_date,is_new_frontier
Abstraction-Learning,2024-06-24,0.0044904697942440815,gemini-1.5-pro-001,Gemini,2024-05-24,False
Search-Load,2024-06-24,0.00444725139993733,gemini-1.5-pro-001,Gemini,2024-05-24,False
Coding,2024-06-24,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-06-24,0.004533580604702248,gemini-1.5-pro-001,Gemini,2024-05-24,False
Quantitative-Formal,2024-07-18,0.0044852433956499285,gemini-1.5-pro-001,Gemini,2024-05-24,False
Logical-Control,2024-07-18,0.004518667571612015,gemini-1.5-pro-001,Gemini,2024-05-24,False
Abstraction-Learning,2024-07-18,0.0044904697942440815,gemini-1.5-pro-001,Gemini,2024-05-24,False
Search-Load,2024-07-18,0.00444725139993733,gemini-1.5-pro-001,Gemini,2024-05-24,False
Coding,2024-07-18,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-07-18,0.004533580604702248,gemini-1.5-pro-001,Gemini,2024-05-24,False
Quantitative-Formal,2024-07-23,0.0044852433956499285,gemini-1.5-pro-001,Gemini,2024-05-24,False
Logical-Control,2024-07-23,0.004518667571612015,gemini-1.5-pro-001,Gemini,2024-05-24,False
Abstraction-Learning,2024-07-23,0.0044904697942440815,gemini-1.5-pro-001,Gemini,2024-05-24,False
Search-Load,2024-07-23,0.00444725139993733,gemini-1.5-pro-001,Gemini,2024-05-24,False
Coding,2024-07-23,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-07-23,0.004533580604702248,gemini-1.5-pro-001,Gemini,2024-05-24,False
Quantitative-Formal,2024-08-06,0.004597998805048528,gpt-4o-2024-08-06,GPT,2024-08-06,True
Logical-Control,2024-08-06,0.004576575307573097,gpt-4o-2024-08-06,GPT,2024-08-06,True
Abstraction-Learning,2024-08-06,0.00454371035135076,gpt-4o-2024-08-06,GPT,2024-08-06,True
Search-Load,2024-08-06,0.004552530522768952,gpt-4o-2024-08-06,GPT,2024-08-06,True
Coding,2024-08-06,0.0026670428023844077,gpt-4o-2024-08-06,GPT,2024-08-06,True
Science,2024-08-06,0.004641259884623462,gpt-4o-2024-08-06,GPT,2024-08-06,True
Quantitative-Formal,2024-08-13,0.004597998805048528,gpt-4o-2024-08-06,GPT,2024-08-06,False
Logical-Control,2024-08-13,0.004576575307573097,gpt-4o-2024-08-06,GPT,2024-08-06,False
Abstraction-Learning,2024-08-13,0.00454371035135076,gpt-4o-2024-08-06,GPT,2024-08-06,False
Search-Load,2024-08-13,0.004552530522768952,gpt-4o-2024-08-06,GPT,2024-08-06,False
Coding,2024-08-13,0.0026670428023844077,gpt-4o-2024-08-06,GPT,2024-08-06,False
Science,2024-08-13,0.004641259884623462,gpt-4o-2024-08-06,GPT,2024-08-06,False
Quantitative-Formal,2024-08-16,0.004597998805048528,gpt-4o-2024-08-06,GPT,2024-08-06,False
Logical-Control,2024-08-16,0.004576575307573097,gpt-4o-2024-08-06,GPT,2024-08-06,False
Abstraction-Learning,2024-08-16,0.00454371035135076,gpt-4o-2024-08-06,GPT,2024-08-06,False
Search-Load,2024-08-16,0.004552530522768952,gpt-4o-2024-08-06,GPT,2024-08-06,False
Coding,2024-08-16,0.0026670428023844077,gpt-4o-2024-08-06,GPT,2024-08-06,False
Science,2024-08-16,0.004641259884623462,gpt-4o-2024-08-06,GPT,2024-08-06,False
Quantitative-Formal,2024-08-17,0.004597998805048528,gpt-4o-2024-08-06,GPT,2024-08-06,False
